"","huc8","name","date","none","d0x","d1x","d2x","d3x","d4x"
"38","11130301","Washita Headwaters",2022-01-25,0,0,0,0,100,0
"39","11140101","Bois D'arc-Island",2022-01-25,0,0,0,59.53,40.47,0
"40","11140106","Pecan-Waterhole",2022-01-25,0,0,0,36.25,63.75,0
"41","11140201","McKinney-Posten Bayous",2022-01-25,0,0,0,100,0,0
"42","11140206","Bayou Pierre",2022-01-25,0,0,1.58,98.42,0,0
"43","11140301","Sulphur Headwaters",2022-01-25,0,0,0,45.51,54.49,0
"44","11140302","Lower Sulpher",2022-01-25,0,0,0,95.86,4.14,0
"45","11140303","White Oak Bayou",2022-01-25,0,0,0,42.15,57.85,0
"46","11140304","Cross Bayou",2022-01-25,0,0,0,100,0,0
"47","11140305","Lake O'the Pines",2022-01-25,0,0,0,85.84,14.16,0
"48","11140306","Caddo Lake",2022-01-25,0,0,0,100,0,0
"49","11140307","Little Cypress",2022-01-25,0,0,0,100,0,0
"50","12010001","Upper Sabine",2022-01-25,0,0,0,58.86,41.14,0
"51","12010002","Middle Sabine",2022-01-25,0,0,0,84.67,15.33,0
"52","12010003","Lake Fork",2022-01-25,0,0,0,21.94,78.06,0
"53","12010004","Toledo Bend Reservoir",2022-01-25,0,1.69,52.73,45.58,0,0
"54","12010005","Lower Sabine",2022-01-25,0,57.06,42.94,0,0,0
"55","12020001","Upper Neches",2022-01-25,0,0,0,86.41,13.59,0
"56","12020002","Middle Neches",2022-01-25,0,0,53.83,37.41,8.76,0
"57","12020003","Lower Neches",2022-01-25,1.52,85.82,12.66,0,0,0
"58","12020004","Upper Angelina",2022-01-25,0,0,0,39.92,60.08,0
"59","12020005","Lower Angelina",2022-01-25,0,14.3,20.59,65.11,0,0
"60","12020006","Village",2022-01-25,36.17,55.54,8.29,0,0,0
"61","12020007","Pine Island Bayou",2022-01-25,94.25,5.75,0,0,0,0
"62","12030101","Upper West Fork Trinity",2022-01-25,0,0,0,100,0,0
"63","12030102","Lower West Fork Trinity",2022-01-25,0,0,0,100,0,0
"64","12030103","Elm Fork Trinity",2022-01-25,0,0,0,89.75,10.25,0
"65","12030104","Denton",2022-01-25,0,0,0,91.57,8.43,0
"66","12030105","Upper Trinity",2022-01-25,0,0,0,100,0,0
"67","12030106","East Fork Trinity",2022-01-25,0,0,0,100,0,0
"68","12030107","Cedar",2022-01-25,0,0,0,91.43,8.57,0
"69","12030108","Richland",2022-01-25,0,0,0,100,0,0
"70","12030109","Chambers",2022-01-25,0,0,0,100,0,0
"71","12030201","Lower Trinity-Tehuacana",2022-01-25,0,0,32.52,67.48,0,0
"72","12030202","Lower Trinity-Kickapoo",2022-01-25,7.06,10.08,79.21,3.65,0,0
"73","12030203","Lower Trinity",2022-01-25,95.65,4.35,0,0,0,0
"74","12040101","West Fork San Jacinto",2022-01-25,24.56,37.12,38.32,0,0,0
"75","12040102","Spring",2022-01-25,14.25,84.92,0.83,0,0,0
"76","12040103","East Fork San Jacinto",2022-01-25,65.24,29.47,5.29,0,0,0
"77","12040104","Buffalo-San Jacinto",2022-01-25,34.08,65.92,0,0,0,0
"78","12040201","Sabine Lake",2022-01-25,0,86.82,13.18,0,0,0
"79","12040202","East Galveston Bay",2022-01-25,6.93,93.07,0,0,0,0
"80","12040203","North Galveston Bay",2022-01-25,89.28,10.72,0,0,0,0
"81","12040204","West Galveston Bay",2022-01-25,0,36.87,63.13,0,0,0
"82","12040205","Austin-Oyster",2022-01-25,0,15.31,84.69,0,0,0
"83","12050001","Yellow House Draw",2022-01-25,0,0,52.24,47.76,0,0
"84","12050002","Blackwater Draw",2022-01-25,0,0,22.43,70.17,7.4,0
"85","12050003","North Fork Double Mountain Fork Brazos",2022-01-25,0,0,22.54,63.69,13.77,0
"86","12050004","Double Mountain Fork Brazos",2022-01-25,0,0,14.14,53.1,32.76,0
"87","12050005","Running Water Draw",2022-01-25,0,0,23.51,34.49,42,0
"88","12050006","White",2022-01-25,0,0,35.36,43.91,20.73,0
"89","12050007","Salt Fork Brazos",2022-01-25,0,0,0,71.1,28.9,0
"90","12060101","Middle Brazos-Millers",2022-01-25,0,0,0,17.37,82.63,0
"91","12060102","Upper Clear Fork Brazos",2022-01-25,0,0,0,0,100,0
"92","12060103","Paint",2022-01-25,0,0,0,0,100,0
"93","12060104","Lower Clear Fork Brazos",2022-01-25,0,0,0,0,100,0
"94","12060105","Hubbard",2022-01-25,0,0,0,0,100,0
"95","12060201","Middle Brazos-Palo Pinto",2022-01-25,0,0,0,69.37,30.63,0
"96","12060202","Middle Brazos-Lake Whitney",2022-01-25,0,0,0.109999999999999,53.99,45.9,0
"97","12060203","Bosque",2022-01-25,0,0,0,36.39,63.61,0
"98","12060204","North Bosque",2022-01-25,0,0,0,0.840000000000003,99.16,0
"99","12070101","Lower Brazos-Little Brazos",2022-01-25,0,47.34,46.34,6.32,0,0
"100","12070102","Yegua",2022-01-25,0,97.86,2.14,0,0,0
"101","12070103","Navasota",2022-01-25,0,4.66,88.3,7.04,0,0
"102","12070104","Lower Brazos",2022-01-25,0,16.17,83.83,0,0,0
"103","12070201","Leon",2022-01-25,0,0.019999999999996,1.99000000000001,11.83,86.16,0
"104","12070202","Cowhouse",2022-01-25,0,0,0,20.53,79.47,0
"105","12070203","Lampasas",2022-01-25,0,0.680000000000007,13.07,38.19,48.06,0
"106","12070204","Little",2022-01-25,0,88.13,9.54,2.33,0,0
"107","12070205","San Gabriel",2022-01-25,0,60.16,20.13,19.71,0,0
"108","12080001","Lost Draw",2022-01-25,0,0,83.41,16.59,0,0
"109","12080002","Colorado Headwaters",2022-01-25,0,0,0,28.92,71.08,0
"110","12080003","Monument-Seminole Draws",2022-01-25,0,0,42.68,53.35,3.97,0
"111","12080004","Mustang Draw",2022-01-25,0,0,28.74,24.07,47.19,0
"112","12080005","Johnson Draw",2022-01-25,0,0,0,3.7,96.3,0
"113","12080006","Sulphur Springs Draw",2022-01-25,0,0,44.31,13.64,42.05,0
"114","12080007","Beals",2022-01-25,0,0,0,0,100,0
"115","12080008","Upper Colorado",2022-01-25,0,0,0,18.47,81.53,0
"116","12090101","Middle Colorado-Elm",2022-01-25,0,0,0,31.36,68.64,0
"117","12090102","South Concho",2022-01-25,0,0,79.53,20.47,0,0
"118","12090103","Middle Concho",2022-01-25,0,0,9.09,79.63,11.28,0
"119","12090104","North Concho",2022-01-25,0,0,0,69.62,30.38,0
"120","12090105","Concho",2022-01-25,0,0,28.19,71.81,0,0
"121","12090106","Middle Colorado",2022-01-25,0,0,22.86,30.32,46.82,0
"122","12090107","Pecan Bayou",2022-01-25,0,0,0,0,100,0
"123","12090108","Jim Ned",2022-01-25,0,0,0,0,100,0
"124","12090109","San Saba",2022-01-25,0,0,30.63,68.44,0.93,0
"125","12090110","Brady",2022-01-25,0,0,54.81,45.19,0,0
"126","12090201","Buchanan-Lyndon B. Johnson Lakes",2022-01-25,0,0,1.34999999999999,78.81,19.84,0
"127","12090202","North Llano",2022-01-25,0,0,3.24,96.76,0,0
"128","12090203","South Llano",2022-01-25,0,0,0,100,0,0
"129","12090204","Llano",2022-01-25,0,0,22.81,77.19,0,0
"130","12090205","Austin-Travis Lakes",2022-01-25,0,11.47,57.57,30.96,0,0
"131","12090206","Pedernales",2022-01-25,0,0,1.5,98.5,0,0
"132","12090301","Lower Colorado-Cummins",2022-01-25,0,39.88,60.12,0,0,0
"133","12090302","Lower Colorado",2022-01-25,0,0,100,0,0,0
"134","12090401","San Bernard",2022-01-25,0,0,100,0,0,0
"135","12090402","East Matagorda Bay",2022-01-25,0,0,100,0,0,0
"136","12100101","Lavaca",2022-01-25,0,16.84,83.16,0,0,0
"137","12100102","Navidad",2022-01-25,0,14.96,85.04,0,0,0
"138","12100201","Upper Guadalupe",2022-01-25,0,0,14.51,85.49,0,0
"139","12100202","Middle Guadalupe",2022-01-25,0,0,100,0,0,0
"140","12100203","San Marcos",2022-01-25,0,0,82.98,17.02,0,0
"141","12100204","Lower Guadalupe",2022-01-25,0,0.0100000000000051,99.99,0,0,0
"142","12100301","Upper San Antonio",2022-01-25,0,0,100,0,0,0
"143","12100302","Medina",2022-01-25,0,0,68.2,31.8,0,0
"144","12100303","Lower San Antonio",2022-01-25,0,0.150000000000006,99.13,0.72,0,0
"145","12100304","Cibolo",2022-01-25,0,0,96.69,3.31,0,0
"146","12100401","East Matagorda Bay",2022-01-25,0,76.13,23.87,0,0,0
"147","12100402","West Matagorda Bay",2022-01-25,0,67.38,32.62,0,0,0
"148","12100403","East San Antonio Bay",2022-01-25,0,86.77,13.23,0,0,0
"149","12100404","West San Antonio Bay",2022-01-25,0,90.92,9.08,0,0,0
"150","12100405","Aransas Bay",2022-01-25,0,80.3,19.7,0,0,0
"151","12100406","Mission",2022-01-25,0,30.11,57.52,12.37,0,0
"152","12100407","Aransas",2022-01-25,0,66.73,30.49,2.78,0,0
"153","12110101","Nueces Headwaters",2022-01-25,0,0,45.92,54.08,0,0
"154","12110102","West Nueces",2022-01-25,0,0,44.58,55.42,0,0
"155","12110103","Upper Nueces",2022-01-25,0,0,5.20999999999999,21.68,73.11,0
"156","12110104","Turkey",2022-01-25,0,0,13.42,66.42,20.16,0
"157","12110105","Middle Nueces",2022-01-25,0,5.03,16.35,27.34,51.28,0
"158","12110106","Upper Frio",2022-01-25,0,0,45.17,52.86,1.97,0
"159","12110107","Hondo",2022-01-25,0,0,55.13,44.87,0,0
"160","12110108","Lower Frio",2022-01-25,0,0,0,7.02,92.98,0
"161","12110109","San Miguel",2022-01-25,0,0,0,73.06,26.94,0
"162","12110110","Atascosa",2022-01-25,0,0,23.76,74.46,1.78,0
"163","12110111","Lower Nueces",2022-01-25,0,13.9,21.79,57.91,6.4,0
"164","12110201","North Corpus Christi Bay",2022-01-25,0,100,0,0,0,0
"165","12110202","South Corpus Christi Bay",2022-01-25,0,100,0,0,0,0
"166","12110203","North Laguna Madre",2022-01-25,32.99,67.01,0,0,0,0
"167","12110204","San Fernando",2022-01-25,0,58.05,24.29,17.5,0.16,0
"168","12110205","Baffin Bay",2022-01-25,25.55,67.77,5.64,1.04,0,0
"169","12110206","Palo Blanco",2022-01-25,31.36,68.64,0,0,0,0
"170","12110207","Central Laguna Madre",2022-01-25,72.39,27.61,0,0,0,0
"171","12110208","South Laguna Madre",2022-01-25,100,0,0,0,0,0
"172","13030102","El Paso-Las Cruces",2022-01-25,0,39.04,27.95,12.27,20.74,0
"173","13040100","Rio Grande-Fort Quitman",2022-01-25,0,82.27,17.73,0,0,0
"174","13040201","Cibolo-Red Light",2022-01-25,0,0,13.19,38.48,48.33,0
"175","13040202","Alamito",2022-01-25,0,0,0.0100000000000051,10.02,89.97,0
"176","13040203","Black Hills-Fresno",2022-01-25,0,0,2.53,31.03,66.44,0
"177","13040204","Terlingua",2022-01-25,0,0,2.37,27.53,70.1,0
"178","13040205","Big Bend",2022-01-25,0,0,43.6,51.09,5.31,0
"179","13040206","Maravillas",2022-01-25,0,0,0,17.84,82.16,0
"180","13040207","Santiago Draw",2022-01-25,0,0,0,3.03,96.97,0
"181","13040208","Reagan-Sanderson",2022-01-25,0,0,0,8.27,91.73,0
"182","13040209","San Francisco",2022-01-25,0,0,0,16.93,83.07,0
"183","13040210","Lozier Canyon",2022-01-25,0,0,0,47.58,52.42,0
"184","13040211","Big Canyon",2022-01-25,0,0,0,99.97,0.03,0
"185","13040212","Amistad Reservoir",2022-01-25,0,0,0,100,0,0
"186","13040301","Upper Devils",2022-01-25,0,0,34.5,65.5,0,0
"187","13040302","Lower Devils",2022-01-25,0,0,0,100,0,0
"188","13040303","Dry Devils",2022-01-25,0,0,0,100,0,0
"189","13050003","Tularosa Valley",2022-01-25,0,30.42,56.33,13.25,0,0
"190","13050004","Salt Basin",2022-01-25,0,19.56,44.1,23.19,13.15,0
"191","13060011","Upper Pecos-Black",2022-01-25,0,0,67.61,25.97,6.42,0
"192","13070001","Lower Pecos-Red Bluff Reservoir",2022-01-25,0,0,49.7,50.15,0.15,0
"193","13070002","Delaware",2022-01-25,0,0,100,0,0,0
"194","13070003","Toyah",2022-01-25,0,0,20.87,79.13,0,0
"195","13070004","Salt Draw",2022-01-25,0,0,5.43000000000001,88.77,5.8,0
"196","13070005","Barrilla Draw",2022-01-25,0,0,5.94,94.06,0,0
"197","13070006","Coyanosa-Hackberry Draws",2022-01-25,0,0,0,94.15,5.85,0
"198","13070007","Landreth-Monument Draws",2022-01-25,0,0,20.93,26.37,52.7,0
"199","13070008","Pecos",2022-01-25,0,0,0,95.02,4.98,0
"200","13070009","Tunas",2022-01-25,0,0,0,81.8,18.2,0
"201","13070010","Independence",2022-01-25,0,0,0,100,0,0
"202","13070011","Howard Draw",2022-01-25,0,0,0.0600000000000023,99.94,0,0
"203","13070012","Lower Pecos",2022-01-25,0,0,0,100,0,0
"204","13080001","Elm-Sycamore",2022-01-25,0,0,41.24,58.76,0,0
"205","13080002","San Ambrosia-Santa Isabel",2022-01-25,0,0,22.99,43.54,33.47,0
"206","13080003","International Falcon Reservoir",2022-01-25,0,37.67,62.33,0,0,0
"207","13090001","Los Olmos",2022-01-25,27.02,72.96,0.02,0,0,0
"208","13090002","Lower Rio Grande",2022-01-25,100,0,0,0,0,0
