pwsid,utility_name,activity,stage,stage_response,,,,,
TX1300001,City of Boerne,"Irrigation using hand-held hose, faucet-filled bucket (<= 5 gal), drip irrigation",stage 4,May be authorized by city manager or designee,,,,,
TX1300001,City of Boerne,Indoor water use,stage 4,General curtailment,,,,,
TX1300001,City of Boerne,Washing of vehicles,stage 4,Only at commercial establishments with water recycling systems,,,,,
TX1300001,City of Boerne,Defective plumbing,stage 4,Identify and eliminate (considered wasting of water and is prohibited),,,,,
TX1300001,City of Boerne,"Water runoff into ditch, gutter, or drain; controllabel leaks; applying water to impermeable surfaces; operating damaged sprinkler heads. ",stage 4,Considered waste of water and are prohibited,,,,,
TX1300001,City of Boerne,New or replacement of landscape features that require water use,stage 4,Prohibited,,,,,
TX1300001,City of Boerne,Dust control,stage 4,Prohibited other than from reclaimed water sources,,,,,
TX1300001,City of Boerne,Refilling or adding of water to swimming and/or wadding pools,stage 4,Prohibited,,,,,
TX1300001,City of Boerne,Athletic playing fields,stage 4,Permits shall become null and void and no new permits shall be granted,,,,,
TX1300001,City of Boerne,"Ornamental fountains, water-falls, and similar ameneties",stage 4,Prohibited,,,,,
TX1300001,City of Boerne,Commercial nurseries/sod forms and similar establishments,stage 4,Prohibited use for expansion,,,,,
TX1300001,City of Boerne,Restaurants serving water,stage 4,Prohibited except when asked for,,,,,
TX1300001,City of Boerne,Large commercial water customers,stage 4,Develop individual water conservation plans,,,,,
