"site","date","mean_depth_ft","month","year","julian"
"5758402","2009-11-01",169.165,11,2009,"305"
"5758402","2009-12-01",169.4,12,2009,"335"
"5758402","2010-01-01",169.05,1,2010,"1"
"5758402","2010-02-01",168.375,2,2010,"32"
"5758402","2010-03-01",168.105,3,2010,"60"
"5758402","2010-04-01",167.85,4,2010,"91"
"5758402","2010-05-01",167.725,5,2010,"121"
"5758402","2010-06-01",168.37,6,2010,"152"
"5758402","2010-07-01",168.85,7,2010,"182"
"5758402","2010-08-01",170.37,8,2010,"213"
"5758402","2010-09-01",170.06,9,2010,"244"
"5758402","2010-10-01",171.635,10,2010,"274"
"5758402","2010-11-01",171.045,11,2010,"305"
"5758402","2010-12-01",171,12,2010,"335"
"5758402","2011-01-01",170.685,1,2011,"1"
"5758402","2011-02-01",171.055,2,2011,"32"
"5758402","2011-03-01",170.76,3,2011,"60"
"5758402","2011-04-01",171.32,4,2011,"91"
"5758402","2011-05-01",172.365,5,2011,"121"
"5758402","2011-06-01",173.05,6,2011,"152"
"5758402","2011-07-01",174.345,7,2011,"182"
"5758402","2011-08-01",175.6,8,2011,"213"
"5758402","2011-09-01",177.25,9,2011,"244"
"5758402","2011-10-01",177.295,10,2011,"274"
"5758402","2011-11-01",177.41,11,2011,"305"
"5758402","2011-12-01",177.085,12,2011,"335"
"5758402","2012-01-01",176.965,1,2012,"1"
"5758402","2012-02-01",177.005,2,2012,"32"
"5758402","2012-03-01",176.525,3,2012,"61"
"5758402","2012-04-01",176.605,4,2012,"92"
"5758402","2012-05-01",177.255,5,2012,"122"
"5758402","2012-06-01",177.775,6,2012,"153"
"5758402","2012-07-01",178.155,7,2012,"183"
"5758402","2012-08-01",179.8,8,2012,"214"
"5758402","2012-09-01",180.04,9,2012,"245"
"5758402","2012-10-01",179.565,10,2012,"275"
"5758402","2012-11-01",179.92,11,2012,"306"
"5758402","2012-12-01",179.7,12,2012,"336"
"5758402","2013-01-01",179.32,1,2013,"1"
"5758402","2013-02-01",179.33,2,2013,"32"
"5758402","2013-03-01",179.48,3,2013,"60"
"5758402","2013-04-01",179.905,4,2013,"91"
"5758402","2013-05-01",179.45,5,2013,"121"
"5758402","2013-06-01",180.375,6,2013,"152"
"5758402","2013-07-01",180.915,7,2013,"182"
"5758402","2013-08-01",182.9,8,2013,"213"
"5758402","2013-09-01",182.27,9,2013,"244"
"5758402","2013-10-01",182.435,10,2013,"274"
"5758402","2013-11-01",182.34,11,2013,"305"
"5758402","2013-12-01",182.105,12,2013,"335"
"5758402","2014-01-01",182.25,1,2014,"1"
"5758402","2014-02-01",182.015,2,2014,"32"
"5758402","2014-03-01",181.985,3,2014,"60"
"5758402","2014-04-01",182.235,4,2014,"91"
"5758402","2014-05-01",182.36,5,2014,"121"
"5758402","2014-06-01",182,6,2014,"152"
"5758402","2014-07-01",183.1,7,2014,"182"
"5758402","2014-08-01",184.1,8,2014,"213"
"5758402","2014-09-01",183.845,9,2014,"244"
"5758402","2014-10-01",185.985,10,2014,"274"
"5758402","2014-11-01",183.565,11,2014,"305"
"5758402","2014-12-01",183.09,12,2014,"335"
"5758402","2015-01-01",183.08,1,2015,"1"
"5758402","2015-02-01",182.4,2,2015,"32"
"5758402","2015-03-01",181.79,3,2015,"60"
"5758402","2015-04-01",181.21,4,2015,"91"
"5758402","2015-05-01",180.47,5,2015,"121"
"5758402","2015-06-01",179.74,6,2015,"152"
"5758402","2015-07-01",179.495,7,2015,"182"
"5758402","2015-08-01",179.575,8,2015,"213"
"5758402","2015-09-01",180.195,9,2015,"244"
"5758402","2015-10-01",180.25,10,2015,"274"
"5758402","2015-11-01",179.45,11,2015,"305"
"5758402","2015-12-01",178.8,12,2015,"335"
"5758402","2016-01-01",178.06,1,2016,"1"
"5758402","2016-02-01",178.205,2,2016,"32"
"5758402","2016-03-01",177.455,3,2016,"61"
"5758402","2016-04-01",176.81,4,2016,"92"
"5758402","2016-05-01",175.965,5,2016,"122"
"5758402","2016-06-01",176,6,2016,"153"
"5758402","2016-07-01",176.27,7,2016,"183"
"5758402","2016-08-01",175.965,8,2016,"214"
"5758402","2016-09-01",175.68,9,2016,"245"
"5758402","2016-10-01",175.05,10,2016,"275"
"5758402","2016-11-01",174.245,11,2016,"306"
"5758402","2016-12-01",173.48,12,2016,"336"
"5758402","2017-01-01",172.86,1,2017,"1"
"5758402","2017-02-01",172.395,2,2017,"32"
"5758402","2017-03-01",171.84,3,2017,"60"
"5758402","2017-04-01",171.61,4,2017,"91"
"5758402","2017-05-01",171.255,5,2017,"121"
"5758402","2017-06-01",171.51,6,2017,"152"
"5758402","2017-07-01",172.24,7,2017,"182"
"5758402","2017-08-01",172.68,8,2017,"213"
"5758402","2017-09-01",173.195,9,2017,"244"
"5758402","2017-10-01",173.59,10,2017,"274"
"5758402","2017-11-01",173.54,11,2017,"305"
"5758402","2017-12-01",173.565,12,2017,"335"
"5758402","2018-01-01",173.24,1,2018,"1"
"5758402","2018-02-01",173.275,2,2018,"32"
"5758402","2018-03-01",173.165,3,2018,"60"
"5758402","2018-04-01",172.99,4,2018,"91"
"5758402","2018-05-01",173.485,5,2018,"121"
"5758402","2018-06-01",175.12,6,2018,"152"
"5758402","2018-07-01",176.15,7,2018,"182"
"5758402","2018-08-01",177.65,8,2018,"213"
"5758402","2018-09-01",177.29,9,2018,"244"
"5758402","2018-10-01",179,10,2018,"274"
"5758402","2018-11-01",176.375,11,2018,"305"
"5758402","2018-12-01",176.37,12,2018,"335"
"5758402","2019-01-01",175.685,1,2019,"1"
"5758402","2019-02-01",174.91,2,2019,"32"
"5758402","2019-03-01",174.39,3,2019,"60"
"5758402","2019-04-01",174.235,4,2019,"91"
"5758402","2019-05-01",173.46,5,2019,"121"
"5758402","2019-06-01",173.295,6,2019,"152"
"5758402","2019-07-01",173.735,7,2019,"182"
"5758402","2019-08-01",175.085,8,2019,"213"
"5758402","2019-09-01",175.765,9,2019,"244"
"5758402","2019-10-01",176.64,10,2019,"274"
"5758402","2019-11-01",176.785,11,2019,"305"
"5758402","2019-12-01",177.54,12,2019,"335"
"5758402","2020-01-01",177.41,1,2020,"1"
"5758402","2020-02-01",177.305,2,2020,"32"
"5758402","2020-03-01",177.165,3,2020,"61"
"5758402","2020-04-01",177.09,4,2020,"92"
"5758402","2020-05-01",177.66,5,2020,"122"
"5758402","2020-06-01",178.8,6,2020,"153"
"5758402","2020-07-01",180.46,7,2020,"183"
"5758402","2020-08-01",182.26,8,2020,"214"
"5758402","2020-09-01",181.555,9,2020,"245"
"5758402","2020-10-01",181.885,10,2020,"275"
"5758402","2020-11-01",183.115,11,2020,"306"
"5758402","2020-12-01",183.06,12,2020,"336"
"5758402","2021-01-01",183.595,1,2021,"1"
"5758402","2021-02-01",183.675,2,2021,"32"
"5758402","2021-03-01",184.11,3,2021,"60"
"5758402","2021-04-01",184.765,4,2021,"91"
"5758402","2021-05-01",184.795,5,2021,"121"
"5758402","2021-06-01",184.17,6,2021,"152"
"5758402","2021-07-01",184.28,7,2021,"182"
"5758402","2021-08-01",185.445,8,2021,"213"
"5758402","2021-09-01",185.755,9,2021,"244"
"5758402","2021-10-01",185.37,10,2021,"274"
"5758402","2021-11-01",185.055,11,2021,"305"
"5758402","2021-12-01",184.945,12,2021,"335"
"5758402","2022-01-01",184.67,1,2022,"1"
"5758402","2022-02-01",184.01,2,2022,"32"
"5758402","2022-03-01",184.915,3,2022,"60"
"5758402","2022-04-01",185.425,4,2022,"91"
"5758402","2022-05-01",185.575,5,2022,"121"
"5758402","2022-06-01",187.37,6,2022,"152"
"5758402","2022-07-01",188.895,7,2022,"182"
"5758402","2022-08-01",190.295,8,2022,"213"
"5758402","2022-09-01",190.48,9,2022,"244"
"5758402","2022-10-01",191.325,10,2022,"274"
"5758402","2022-11-01",191.48,11,2022,"305"
"5758402","2022-12-01",191.505,12,2022,"335"
"5758402","2023-01-01",192.01,1,2023,"1"
"5758402","2023-02-01",192.595,2,2023,"32"
"5758402","2023-03-01",193.27,3,2023,"60"
"5758402","2023-04-01",193.695,4,2023,"91"
"5758402","2023-05-01",194.14,5,2023,"121"
"5758402","2023-06-01",195.28,6,2023,"152"
"6801314","2000-01-01",114.85,1,2000,"1"
"6801314","2000-12-01",108.58,12,2000,"336"
"6801314","2001-01-01",110.33,1,2001,"1"
"6801314","2001-02-01",102.31,2,2001,"32"
"6801314","2001-03-01",95.81,3,2001,"60"
"6801314","2001-04-01",94.6333333333333,4,2001,"91"
"6801314","2001-05-01",96.08,5,2001,"121"
"6801314","2001-06-01",101.05,6,2001,"152"
"6801314","2001-07-01",108.86,7,2001,"182"
"6801314","2001-08-01",117.305,8,2001,"213"
"6801314","2001-09-01",117.683333333333,9,2001,"244"
"6801314","2001-10-01",117.143333333333,10,2001,"274"
"6801314","2001-11-01",111.3975,11,2001,"305"
"6801314","2001-12-01",102.42,12,2001,"335"
"6801314","2002-01-01",99.5066666666667,1,2002,"1"
"6801314","2002-02-01",97.9933333333333,2,2002,"32"
"6801314","2002-03-01",97.42,3,2002,"60"
"6801314","2005-11-01",112.835,11,2005,"305"
"6801314","2005-12-01",114.835,12,2005,"335"
"6801314","2006-01-01",113.56,1,2006,"1"
"6801314","2006-02-01",113.875,2,2006,"32"
"6801314","2006-03-01",116.25,3,2006,"60"
"6801314","2006-04-01",120.25,4,2006,"91"
"6801314","2006-05-01",122.91,5,2006,"121"
"6801314","2006-06-01",128.725,6,2006,"152"
"6801314","2006-07-01",134.125,7,2006,"182"
"6801314","2006-08-01",138.065,8,2006,"213"
"6801314","2006-09-01",137.07,9,2006,"244"
"6801314","2006-10-01",134.275,10,2006,"274"
"6801314","2006-11-01",133.78,11,2006,"305"
"6801314","2006-12-01",133.415,12,2006,"335"
"6801314","2007-01-01",132.125,1,2007,"1"
"6801314","2007-02-01",130.315,2,2007,"32"
"6801314","2007-03-01",127.625,3,2007,"60"
"6801314","2007-04-01",115.715,4,2007,"91"
"6801314","2007-05-01",109.685,5,2007,"121"
"6801314","2007-06-01",101.905,6,2007,"152"
"6801314","2007-07-01",95.37,7,2007,"182"
"6801314","2007-08-01",86.535,8,2007,"213"
"6801314","2007-09-01",80.215,9,2007,"244"
"6801314","2007-10-01",85.91,10,2007,"274"
"6801314","2007-11-01",91.99,11,2007,"305"
"6801314","2007-12-01",94.225,12,2007,"335"
"6801314","2008-01-01",96.275,1,2008,"1"
"6801314","2008-02-01",97.545,2,2008,"32"
"6801314","2008-03-01",99.125,3,2008,"61"
"6801314","2008-04-01",106.51,4,2008,"92"
"6801314","2008-05-01",110.4,5,2008,"122"
"6801314","2008-06-01",120.02,6,2008,"153"
"6801314","2008-07-01",122.665,7,2008,"183"
"6801314","2008-08-01",127.53,8,2008,"214"
"6801314","2008-09-01",129.78,9,2008,"245"
"6801314","2008-10-01",131.37,10,2008,"275"
"6801314","2008-11-01",131.29,11,2008,"306"
"6801314","2008-12-01",130.09,12,2008,"336"
"6801314","2009-01-01",129.375,1,2009,"1"
"6801314","2009-02-01",129.385,2,2009,"32"
"6801314","2009-03-01",131.31,3,2009,"60"
"6801314","2009-04-01",133.85,4,2009,"91"
"6801314","2009-05-01",136.445,5,2009,"121"
"6801314","2009-06-01",139.675,6,2009,"152"
"6801314","2009-07-01",144.485,7,2009,"182"
"6801314","2009-08-01",143.66,8,2009,"213"
"6801314","2009-09-01",140.035,9,2009,"244"
"6801314","2009-10-01",140.905,10,2009,"274"
"6801314","2009-11-01",140.165,11,2009,"305"
"6801314","2009-12-01",139.8,12,2009,"335"
"6801314","2010-01-01",138.825,1,2010,"1"
"6801314","2010-02-01",131.135,2,2010,"32"
"6801314","2010-03-01",124.825,3,2010,"60"
"6801314","2010-04-01",122.105,4,2010,"91"
"6801314","2010-05-01",119.96,5,2010,"121"
"6801314","2010-06-01",126.17,6,2010,"152"
"6801314","2010-07-01",126.195,7,2010,"182"
"6801314","2010-08-01",135.085,8,2010,"213"
"6801314","2010-09-01",130.415,9,2010,"244"
"6801314","2010-10-01",129.725,10,2010,"274"
"6801314","2010-11-01",130.095,11,2010,"305"
"6801314","2010-12-01",130.43,12,2010,"335"
"6801314","2011-01-01",126.405,1,2011,"1"
"6801314","2011-02-01",126.665,2,2011,"32"
"6801314","2011-03-01",127.075,3,2011,"60"
"6801314","2011-04-01",132.555,4,2011,"91"
"6801314","2011-05-01",138.405,5,2011,"121"
"6801314","2011-06-01",145.245,6,2011,"152"
"6801314","2011-07-01",148.52,7,2011,"182"
"6801314","2011-08-01",149.9,8,2011,"213"
"6801314","2011-09-01",150.6,9,2011,"244"
"6801314","2011-10-01",148.665,10,2011,"274"
"6801314","2011-11-01",147.05,11,2011,"305"
"6801314","2011-12-01",145.885,12,2011,"335"
"6801314","2012-01-01",143.6,1,2012,"1"
"6801314","2012-02-01",141.54,2,2012,"32"
"6801314","2012-03-01",142.085,3,2012,"61"
"6801314","2012-04-01",142.7,4,2012,"92"
"6801314","2012-05-01",150.005,5,2012,"122"
"6801314","2012-06-01",164.7,6,2012,"153"
"6801314","2012-07-01",160.695,7,2012,"183"
"6801314","2012-08-01",166.9,8,2012,"214"
"6801314","2012-09-01",167.61,9,2012,"245"
"6801314","2012-10-01",163.915,10,2012,"275"
"6801314","2012-11-01",157.29,11,2012,"306"
"6801314","2012-12-01",160.205,12,2012,"336"
"6801314","2013-01-01",157.615,1,2013,"1"
"6801314","2013-02-01",155.42,2,2013,"32"
"6801314","2013-03-01",157.695,3,2013,"60"
"6801314","2013-04-01",156.5,4,2013,"91"
"6801314","2013-05-01",155.175,5,2013,"121"
"6801314","2013-06-01",169.34,6,2013,"152"
"6801314","2013-07-01",174.475,7,2013,"182"
"6801314","2013-08-01",177.34,8,2013,"213"
"6801314","2013-09-01",168.54,9,2013,"244"
"6801314","2013-10-01",161.25,10,2013,"274"
"6801314","2013-11-01",164.035,11,2013,"305"
"6801314","2013-12-01",161.025,12,2013,"335"
"6801314","2014-01-01",162.935,1,2014,"1"
"6801314","2014-02-01",163.985,2,2014,"32"
"6801314","2014-03-01",162.065,3,2014,"60"
"6801314","2014-04-01",162.44,4,2014,"91"
"6801314","2014-05-01",160.555,5,2014,"121"
"6801314","2014-06-01",163.56,6,2014,"152"
"6801314","2014-07-01",169.31,7,2014,"182"
"6801314","2014-08-01",171.625,8,2014,"213"
"6801314","2014-09-01",162.055,9,2014,"244"
"6801314","2014-10-01",160.33,10,2014,"274"
"6801314","2014-11-01",159.75,11,2014,"305"
"6801314","2014-12-01",160.535,12,2014,"335"
"6801314","2015-01-01",167.11,1,2015,"1"
"6801314","2015-02-01",174.39,2,2015,"32"
"6801314","2015-03-01",162.71,3,2015,"60"
"6801314","2015-04-01",160.105,4,2015,"91"
"6801314","2015-05-01",154.57,5,2015,"121"
"6801314","2015-06-01",146.255,6,2015,"152"
"6801314","2015-07-01",153.73,7,2015,"182"
"6801314","2015-08-01",159.14,8,2015,"213"
"6801314","2015-09-01",161.035,9,2015,"244"
"6801314","2015-10-01",158.545,10,2015,"274"
"6801314","2015-11-01",158.375,11,2015,"305"
"6801314","2015-12-01",158.22,12,2015,"335"
"6801314","2016-01-01",156.685,1,2016,"1"
"6801314","2016-02-01",169.185,2,2016,"32"
"6801314","2016-03-01",170.73,3,2016,"61"
"6801314","2016-04-01",167.645,4,2016,"92"
"6801314","2016-05-01",160.775,5,2016,"122"
"6801314","2016-06-01",151.855,6,2016,"153"
"6801314","2016-07-01",154.675,7,2016,"183"
"6801314","2016-08-01",155.66,8,2016,"214"
"6801314","2016-09-01",154.975,9,2016,"245"
"6801314","2016-10-01",147.965,10,2016,"275"
"6801314","2016-11-01",150.255,11,2016,"306"
"6801314","2016-12-01",149.69,12,2016,"336"
"6801314","2017-01-01",148.19,1,2017,"1"
"6801314","2017-02-01",148.265,2,2017,"32"
"6801314","2017-03-01",148.54,3,2017,"60"
"6801314","2017-04-01",148.795,4,2017,"91"
"6801314","2017-05-01",150.685,5,2017,"121"
"6801314","2017-06-01",152.43,6,2017,"152"
"6801314","2017-07-01",156.35,7,2017,"182"
"6801314","2017-08-01",156.535,8,2017,"213"
"6801314","2017-09-01",157.575,9,2017,"244"
"6801314","2017-10-01",152.615,10,2017,"274"
"6801314","2017-11-01",152.755,11,2017,"305"
"6801314","2017-12-01",151.035,12,2017,"335"
"6801314","2018-01-01",166.57,1,2018,"1"
"6801314","2018-02-01",150.38,2,2018,"32"
"6801314","2018-03-01",156.34,3,2018,"60"
"6801314","2018-04-01",155.565,4,2018,"91"
"6801314","2018-05-01",155.175,5,2018,"121"
"6801314","2018-06-01",165.015,6,2018,"152"
"6801314","2018-07-01",174.755,7,2018,"182"
"6801314","2018-08-01",177.875,8,2018,"213"
"6801314","2018-09-01",170.55,9,2018,"244"
"6801314","2018-10-01",159.51,10,2018,"274"
"6801314","2018-11-01",156.38,11,2018,"305"
"6801314","2018-12-01",149.925,12,2018,"335"
"6801314","2019-01-01",143.725,1,2019,"1"
"6801314","2019-02-01",151.44,2,2019,"32"
"6801314","2019-03-01",151.85,3,2019,"60"
"6801314","2019-04-01",150.685,4,2019,"91"
"6801314","2019-05-01",150.4,5,2019,"121"
"6801314","2019-06-01",150.935,6,2019,"152"
"6801314","2019-07-01",157.035,7,2019,"182"
"6801314","2019-08-01",163.485,8,2019,"213"
"6801314","2019-09-01",164.415,9,2019,"244"
"6801314","2019-10-01",166.685,10,2019,"274"
"6801314","2019-11-01",167.505,11,2019,"305"
"6801314","2019-12-01",160.085,12,2019,"335"
"6801314","2020-01-01",151.185,1,2020,"1"
"6801314","2020-02-01",159.845,2,2020,"32"
"6801314","2020-03-01",158.285,3,2020,"61"
"6801314","2020-04-01",160.12,4,2020,"92"
"6801314","2020-05-01",162.92,5,2020,"122"
"6801314","2020-06-01",163.595,6,2020,"153"
"6801314","2020-07-01",170.985,7,2020,"183"
"6801314","2020-08-01",172.275,8,2020,"214"
"6801314","2020-09-01",166.38,9,2020,"245"
"6801314","2020-10-01",165.69,10,2020,"275"
"6801314","2020-11-01",166.97,11,2020,"306"
"6801314","2020-12-01",165.71,12,2020,"336"
"6801314","2021-01-01",168.115,1,2021,"1"
"6801314","2021-02-01",169.28,2,2021,"32"
"6801314","2021-03-01",171.765,3,2021,"60"
"6801314","2021-04-01",173.84,4,2021,"91"
"6801314","2021-05-01",176.185,5,2021,"121"
"6801314","2021-06-01",177.125,6,2021,"152"
"6801314","2021-07-01",176.615,7,2021,"182"
"6801314","2021-08-01",175.445,8,2021,"213"
"6801314","2021-09-01",174.49,9,2021,"244"
"6801314","2021-10-01",175.31,10,2021,"274"
"6801314","2021-11-01",176.09,11,2021,"305"
