"date","elevation_at_waterlevel","site","year","julian"
2018-06-27,1928.11,5758203,2018,178
2018-07-18,1928.11,5758203,2018,199
2018-07-31,1928.11,5758203,2018,212
2018-08-15,1928.1,5758203,2018,227
2018-08-29,1928.1,5758203,2018,241
2018-09-12,1928.1,5758203,2018,255
2018-09-26,1928.09,5758203,2018,269
2018-10-16,1928.1,5758203,2018,289
2018-10-30,1928.1,5758203,2018,303
2018-11-15,1928.1,5758203,2018,319
2018-11-29,1928.1,5758203,2018,333
2018-12-12,1928.11,5758203,2018,346
2018-12-27,1928.13,5758203,2018,361
2019-01-16,1928.1,5758203,2019,16
2019-01-30,1928.1,5758203,2019,30
2019-02-13,1928.11,5758203,2019,44
2019-02-27,1928.1,5758203,2019,58
2019-03-12,1928.11,5758203,2019,71
2019-03-28,1928.1,5758203,2019,87
2019-04-11,1928.11,5758203,2019,101
2019-04-30,1928.1,5758203,2019,120
2019-05-15,1928.09,5758203,2019,135
2019-05-29,1928.1,5758203,2019,149
2019-06-13,1928.1,5758203,2019,164
2019-06-27,1928.09,5758203,2019,178
2019-07-17,1928.11,5758203,2019,198
2019-07-31,1928.1,5758203,2019,212
2019-08-15,1928.11,5758203,2019,227
2019-08-29,1928.1,5758203,2019,241
2019-09-12,1928.11,5758203,2019,255
2019-09-25,1928.1,5758203,2019,268
2019-10-16,1928.33,5758203,2019,289
2019-10-31,1928.57,5758203,2019,304
2019-11-14,1928.57,5758203,2019,318
2019-11-27,1928.56,5758203,2019,331
2019-12-12,1928.57,5758203,2019,346
2019-12-30,1928.56,5758203,2019,364
2020-01-14,1928.56,5758203,2020,14
2020-01-30,1928.56,5758203,2020,30
2020-02-13,1928.55,5758203,2020,44
2020-02-27,1928.56,5758203,2020,58
2020-03-16,1928.55,5758203,2020,76
2020-03-30,1928.55,5758203,2020,90
2020-04-16,1928.55,5758203,2020,107
2020-04-30,1928.54,5758203,2020,121
2020-05-14,1928.54,5758203,2020,135
2020-05-28,1928.54,5758203,2020,149
2020-06-15,1928.53,5758203,2020,167
2020-06-29,1928.54,5758203,2020,181
2020-07-16,1928.54,5758203,2020,198
2020-07-30,1928.53,5758203,2020,212
2020-08-13,1928.53,5758203,2020,226
2020-08-27,1928.54,5758203,2020,240
2020-09-15,1928.54,5758203,2020,259
2020-09-30,1928.53,5758203,2020,274
2020-10-15,1928.53,5758203,2020,289
2020-10-29,1928.53,5758203,2020,303
2020-11-16,1928.53,5758203,2020,321
2020-11-30,1928.54,5758203,2020,335
2020-12-15,1928.54,5758203,2020,350
2020-12-28,1928.54,5758203,2020,363
2021-01-14,1928.54,5758203,2021,14
2021-01-28,1928.54,5758203,2021,28
2021-02-11,1928.53,5758203,2021,42
2021-02-25,1928.54,5758203,2021,56
2021-03-16,1928.55,5758203,2021,75
2021-03-30,1928.53,5758203,2021,89
2021-04-15,1928.52,5758203,2021,105
2021-04-29,1928.52,5758203,2021,119
2021-05-13,1928.53,5758203,2021,133
2021-05-26,1928.52,5758203,2021,146
2021-06-17,1928.52,5758203,2021,168
2021-06-29,1928.52,5758203,2021,180
2021-07-15,1928.52,5758203,2021,196
2021-07-29,1928.53,5758203,2021,210
2021-08-16,1928.53,5758203,2021,228
2021-08-30,1928.54,5758203,2021,242
2021-09-15,1928.53,5758203,2021,258
2021-09-30,1928.53,5758203,2021,273
2021-10-15,1928.52,5758203,2021,288
2021-10-28,1928.53,5758203,2021,301
2021-11-15,1928.53,5758203,2021,319
2021-11-30,1928.53,5758203,2021,334
2021-12-14,1928.53,5758203,2021,348
2021-12-28,1928.53,5758203,2021,362
2022-01-13,1928.54,5758203,2022,13
2022-01-27,1928.53,5758203,2022,27
2022-02-12,1928.54,5758203,2022,43
2022-02-28,1928.53,5758203,2022,59
2022-03-16,1928.53,5758203,2022,75
2022-03-30,1928.51,5758203,2022,89
2007-01-19,1426.75,5758402,2007,19
2007-01-31,1427.17,5758402,2007,31
2007-02-15,1425.75,5758402,2007,46
2007-02-28,1425.67,5758402,2007,59
2007-03-15,1426.5,5758402,2007,74
2007-03-30,1425.83,5758402,2007,89
2007-04-15,1425.42,5758402,2007,105
2007-04-30,1425.83,5758402,2007,120
2007-05-15,1425.67,5758402,2007,135
2007-05-31,1425.75,5758402,2007,151
2007-06-15,1425.67,5758402,2007,166
2007-06-30,1426.5,5758402,2007,181
2007-07-15,1426.33,5758402,2007,196
2007-07-31,1427.25,5758402,2007,212
2007-08-15,1427,5758402,2007,227
2007-08-31,1428.2,5758402,2007,243
2007-09-15,1428.4,5758402,2007,258
2007-09-30,1428.8,5758402,2007,273
2007-10-15,1429,5758402,2007,288
2007-10-31,1429,5758402,2007,304
2007-11-15,1429.4,5758402,2007,319
2007-11-30,1430.33,5758402,2007,334
2007-12-14,1431.2,5758402,2007,348
2007-12-31,1431.2,5758402,2007,365
2008-01-15,1429.7,5758402,2008,15
2008-01-31,1432.2,5758402,2008,31
2008-02-15,1432.4,5758402,2008,46
2008-02-29,1432.1,5758402,2008,60
2008-03-14,1432.3,5758402,2008,74
2008-03-31,1432.2,5758402,2008,91
2008-04-15,1431.8,5758402,2008,106
2008-04-30,1431.6,5758402,2008,121
2008-05-15,1431.8,5758402,2008,136
2008-05-30,1430.8,5758402,2008,151
2008-06-15,1430.8,5758402,2008,167
2008-06-30,1429,5758402,2008,182
2008-07-15,1429.7,5758402,2008,197
2008-07-31,1428.6,5758402,2008,213
2008-08-15,1428.9,5758402,2008,228
2008-08-29,1428.5,5758402,2008,242
2008-09-15,1428.1,5758402,2008,259
2008-09-30,1427.55,5758402,2008,274
2008-10-15,1427.5,5758402,2008,289
2008-10-31,1426.9,5758402,2008,305
2008-11-13,1427,5758402,2008,318
2008-12-01,1426.5,5758402,2008,336
2008-12-15,1426.1,5758402,2008,350
2008-12-29,1425.8,5758402,2008,364
2009-01-15,1424.9,5758402,2009,15
2009-01-30,1424.8,5758402,2009,30
2009-02-13,1424.8,5758402,2009,44
2009-02-27,1424.4,5758402,2009,58
2009-03-17,1423.7,5758402,2009,76
2009-03-31,1423.4,5758402,2009,90
2009-04-15,1422.5,5758402,2009,105
2009-04-29,1422.7,5758402,2009,119
2009-05-15,1416.9,5758402,2009,135
2009-05-29,1422.1,5758402,2009,149
2009-06-15,1420.8,5758402,2009,166
2009-06-30,1419.85,5758402,2009,181
2009-07-15,1418.8,5758402,2009,196
2009-07-31,1417.85,5758402,2009,212
2009-08-14,1417.25,5758402,2009,226
2009-08-28,1415.13,5758402,2009,240
2009-09-15,1415.7,5758402,2009,258
2009-09-30,1415.71,5758402,2009,273
2009-10-15,1416.1,5758402,2009,288
2009-10-30,1415.86,5758402,2009,303
2009-11-13,1415.77,5758402,2009,317
2009-11-30,1415.9,5758402,2009,334
2009-12-15,1415.6,5758402,2009,349
2010-01-12,1415.55,5758402,2010,12
2010-01-28,1416.35,5758402,2010,28
2010-02-12,1416.45,5758402,2010,43
2010-02-26,1416.8,5758402,2010,57
2010-03-15,1416.7,5758402,2010,74
2010-03-31,1417.09,5758402,2010,90
2010-04-16,1417.05,5758402,2010,106
2010-04-30,1417.25,5758402,2010,120
2010-05-14,1417.05,5758402,2010,134
2010-05-28,1417.5,5758402,2010,148
2010-06-16,1416.68,5758402,2010,167
2010-06-30,1416.58,5758402,2010,181
2010-07-16,1416.3,5758402,2010,197
2010-07-30,1416,5758402,2010,211
2010-08-16,1414.69,5758402,2010,228
2010-08-31,1414.57,5758402,2010,243
2010-09-16,1414.85,5758402,2010,259
2010-09-30,1415.03,5758402,2010,273
2010-10-15,1412.78,5758402,2010,288
2010-10-29,1413.95,5758402,2010,302
2010-11-16,1413.88,5758402,2010,320
2010-11-30,1414.03,5758402,2010,334
2010-12-16,1414.36,5758402,2010,350
2010-12-30,1413.64,5758402,2010,364
2011-01-14,1414.29,5758402,2011,14
2011-01-28,1414.34,5758402,2011,28
2011-02-11,1413.6,5758402,2011,42
2011-02-25,1414.29,5758402,2011,56
2011-03-15,1414.21,5758402,2011,74
2011-03-31,1414.27,5758402,2011,90
2011-04-15,1413.82,5758402,2011,105
2011-04-29,1413.54,5758402,2011,119
2011-05-13,1413.46,5758402,2011,133
2011-05-27,1411.81,5758402,2011,147
2011-06-16,1412.36,5758402,2011,167
2011-06-30,1411.54,5758402,2011,181
2011-07-13,1411.41,5758402,2011,194
2011-07-29,1409.9,5758402,2011,210
2011-08-16,1409.41,5758402,2011,228
2011-08-31,1409.39,5758402,2011,243
2011-09-16,1407.75,5758402,2011,259
2011-10-13,1407.91,5758402,2011,286
2011-10-28,1407.5,5758402,2011,301
2011-11-15,1407.56,5758402,2011,319
2011-11-30,1407.62,5758402,2011,334
2011-12-16,1407.79,5758402,2011,350
2011-12-29,1408.04,5758402,2011,363
2012-01-19,1407.92,5758402,2012,19
2012-01-31,1408.15,5758402,2012,31
2012-02-16,1407.88,5758402,2012,47
2012-02-29,1408.11,5758402,2012,60
2012-03-15,1408.29,5758402,2012,75
2012-03-30,1408.66,5758402,2012,90
2012-04-13,1408.6,5758402,2012,104
2012-04-27,1408.19,5758402,2012,118
2012-05-15,1408.29,5758402,2012,136
2012-05-31,1407.2,5758402,2012,152
2012-06-15,1407.33,5758402,2012,167
2012-06-29,1407.12,5758402,2012,181
2012-07-17,1407.15,5758402,2012,199
2012-07-31,1406.54,5758402,2012,213
2012-08-16,1405.2,5758402,2012,229
2012-09-14,1404.7,5758402,2012,258
2012-09-27,1405.22,5758402,2012,271
2012-10-16,1405.5,5758402,2012,290
2012-10-31,1405.37,5758402,2012,305
2012-11-16,1405.21,5758402,2012,321
2012-11-30,1404.95,5758402,2012,335
2012-12-14,1405,5758402,2012,349
2012-12-28,1405.6,5758402,2012,363
2013-01-16,1405.71,5758402,2013,16
2013-01-31,1405.65,5758402,2013,31
2013-02-15,1405.72,5758402,2013,46
2013-02-28,1405.62,5758402,2013,59
2013-03-15,1405.55,5758402,2013,74
2013-03-28,1405.49,5758402,2013,87
2013-04-16,1404.95,5758402,2013,106
2013-04-30,1405.24,5758402,2013,120
2013-05-15,1405.45,5758402,2013,135
2013-05-31,1405.65,5758402,2013,151
2013-06-14,1404.8,5758402,2013,165
2013-06-28,1404.45,5758402,2013,179
2013-07-16,1404.15,5758402,2013,197
2013-07-31,1404.02,5758402,2013,212
2013-08-16,1402.6,5758402,2013,228
2013-08-30,1401.6,5758402,2013,242
2013-09-13,1402.64,5758402,2013,256
2013-09-27,1402.82,5758402,2013,270
2013-10-16,1402.43,5758402,2013,289
2013-10-31,1402.7,5758402,2013,304
2013-11-15,1402.8,5758402,2013,319
2013-11-26,1402.52,5758402,2013,330
2013-12-17,1402.87,5758402,2013,351
2013-12-30,1402.92,5758402,2013,364
2014-01-16,1402.75,5758402,2014,16
2014-02-14,1403.12,5758402,2014,45
2014-02-28,1402.85,5758402,2014,59
2014-03-14,1402.84,5758402,2014,73
2014-03-28,1403.19,5758402,2014,87
2014-04-15,1402.92,5758402,2014,105
2014-04-30,1402.61,5758402,2014,120
2014-05-15,1402.46,5758402,2014,135
2014-05-30,1402.82,5758402,2014,150
2014-06-13,1403,5758402,2014,164
2014-06-27,1403,5758402,2014,178
2014-07-16,1402.01,5758402,2014,197
2014-07-31,1401.79,5758402,2014,212
2014-08-15,1400.72,5758402,2014,227
2014-08-29,1401.08,5758402,2014,241
2014-09-15,1400.81,5758402,2014,258
2014-09-30,1401.5,5758402,2014,273
2014-10-15,1401.2,5758402,2014,288
2014-10-31,1396.83,5758402,2014,304
2014-11-14,1401.2,5758402,2014,318
2014-11-25,1401.67,5758402,2014,329
2014-12-10,1401.75,5758402,2014,344
2014-12-22,1402.07,5758402,2014,356
2015-01-15,1401.81,5758402,2015,15
2015-01-29,1402.03,5758402,2015,29
2015-02-12,1402.39,5758402,2015,43
2015-02-26,1402.81,5758402,2015,57
2015-03-16,1403.06,5758402,2015,75
2015-03-30,1403.36,5758402,2015,89
2015-04-15,1403.7,5758402,2015,105
2015-04-29,1403.88,5758402,2015,119
2015-05-14,1403.9,5758402,2015,134
2015-05-29,1405.16,5758402,2015,149
2015-06-15,1405.02,5758402,2015,166
2015-06-29,1405.5,5758402,2015,180
2015-07-16,1405.35,5758402,2015,197
2015-07-30,1405.66,5758402,2015,211
2015-08-13,1405.7,5758402,2015,225
2015-08-27,1405.15,5758402,2015,239
2015-09-15,1404.89,5758402,2015,258
2015-09-29,1404.72,5758402,2015,272
2015-10-15,1404.5,5758402,2015,288
2015-10-29,1405,5758402,2015,302
2015-11-13,1405.42,5758402,2015,317
2015-11-23,1405.68,5758402,2015,327
2015-12-15,1406.23,5758402,2015,349
2015-12-29,1406.17,5758402,2015,363
2016-01-14,1406.94,5758402,2016,14
2016-01-28,1406.94,5758402,2016,28
2016-02-11,1406.84,5758402,2016,42
2016-02-24,1406.75,5758402,2016,55
2016-03-15,1407.4,5758402,2016,75
2016-03-30,1407.69,5758402,2016,90
2016-04-14,1407.78,5758402,2016,105
2016-04-28,1408.6,5758402,2016,119
2016-05-16,1408.64,5758402,2016,137
2016-05-31,1409.43,5758402,2016,152
2016-06-15,1409.96,5758402,2016,167
2016-06-30,1408.04,5758402,2016,182
2016-07-13,1408.78,5758402,2016,195
2016-07-28,1408.68,5758402,2016,210
2016-08-16,1408.52,5758402,2016,229
2016-08-30,1409.55,5758402,2016,243
2016-09-15,1409.32,5758402,2016,259
2016-09-29,1409.32,5758402,2016,273
2016-10-13,1410.05,5758402,2016,287
2016-10-27,1409.85,5758402,2016,301
2016-11-16,1410.43,5758402,2016,321
2016-11-29,1411.08,5758402,2016,334
2016-12-15,1411.38,5758402,2016,350
2016-12-28,1411.66,5758402,2016,363
2017-01-17,1412.03,5758402,2017,17
2017-01-30,1412.25,5758402,2017,30
2017-02-15,1412.32,5758402,2017,46
2017-02-28,1412.89,5758402,2017,59
2017-03-15,1413.12,5758402,2017,74
2017-03-29,1413.2,5758402,2017,88
2017-04-12,1412.88,5758402,2017,102
2017-04-28,1413.9,5758402,2017,118
2017-05-15,1413.6,5758402,2017,135
2017-05-30,1413.89,5758402,2017,150
2017-06-15,1413.52,5758402,2017,166
2017-06-29,1413.46,5758402,2017,180
2017-07-27,1412.76,5758402,2017,208
2017-08-16,1412.24,5758402,2017,228
2017-08-30,1412.4,5758402,2017,242
2017-09-14,1412.15,5758402,2017,257
2017-09-28,1411.46,5758402,2017,271
2017-10-16,1411.56,5758402,2017,289
2017-10-30,1411.26,5758402,2017,303
2017-11-15,1411.52,5758402,2017,319
2017-11-29,1411.4,5758402,2017,333
2017-12-13,1411.42,5758402,2017,347
2017-12-27,1411.45,5758402,2017,361
2018-01-18,1411.72,5758402,2018,18
2018-01-31,1411.8,5758402,2018,31
2018-02-14,1411.5,5758402,2018,45
2018-02-28,1411.95,5758402,2018,59
2018-03-14,1411.52,5758402,2018,73
2018-03-28,1412.15,5758402,2018,87
2018-04-10,1412.28,5758402,2018,100
2018-04-25,1411.74,5758402,2018,115
2018-05-16,1412.25,5758402,2018,136
2018-05-30,1410.78,5758402,2018,150
2018-06-13,1410.66,5758402,2018,164
2018-06-27,1409.1,5758402,2018,178
2018-07-18,1409.29,5758402,2018,199
2018-07-31,1408.41,5758402,2018,212
2018-08-15,1407.45,5758402,2018,227
2018-08-29,1407.25,5758402,2018,241
2018-09-12,1407.62,5758402,2018,255
2018-09-26,1407.8,5758402,2018,269
2018-10-16,1403.75,5758402,2018,289
2018-10-30,1408.25,5758402,2018,303
2018-11-15,1408.55,5758402,2018,319
2018-11-29,1408.7,5758402,2018,333
2018-12-12,1408.36,5758402,2018,346
2018-12-27,1408.9,5758402,2018,361
2019-01-16,1413.07,5758402,2019,16
2019-01-30,1413.56,5758402,2019,30
2019-02-13,1413.87,5758402,2019,44
2019-02-27,1414.31,5758402,2019,58
2019-03-12,1414.67,5758402,2019,71
2019-03-28,1414.55,5758402,2019,87
2019-04-11,1414.92,5758402,2019,101
2019-04-30,1414.61,5758402,2019,120
2019-05-15,1415.44,5758402,2019,135
2019-05-29,1415.64,5758402,2019,149
2019-06-13,1415.67,5758402,2019,164
2019-06-27,1415.74,5758402,2019,178
2019-07-17,1415.62,5758402,2019,198
2019-07-31,1414.91,5758402,2019,212
2019-08-15,1414.15,5758402,2019,227
2019-08-29,1413.68,5758402,2019,241
2019-09-12,1413.47,5758402,2019,255
2019-09-25,1413,5758402,2019,268
2019-10-16,1412.61,5758402,2019,289
2019-10-31,1412.11,5758402,2019,304
2019-11-14,1412.32,5758402,2019,318
2019-11-27,1412.11,5758402,2019,331
2019-12-12,1411.48,5758402,2019,346
2019-12-30,1411.44,5758402,2019,364
2020-01-14,1411.47,5758402,2020,14
2020-01-30,1411.71,5758402,2020,30
2020-02-13,1411.68,5758402,2020,44
2020-02-27,1411.71,5758402,2020,58
2020-03-16,1411.73,5758402,2020,76
2020-03-30,1411.94,5758402,2020,90
2020-04-16,1412.06,5758402,2020,107
2020-04-30,1411.76,5758402,2020,121
2020-05-14,1411.35,5758402,2020,135
2020-05-28,1411.33,5758402,2020,149
2020-06-15,1410.9,5758402,2020,167
2020-06-29,1409.5,5758402,2020,181
2020-07-16,1409.46,5758402,2020,198
2020-07-30,1407.62,5758402,2020,212
2020-08-13,1407.15,5758402,2020,226
2020-08-27,1406.33,5758402,2020,240
2020-09-15,1407.51,5758402,2020,259
2020-09-30,1407.38,5758402,2020,274
2020-10-15,1407.35,5758402,2020,289
2020-10-29,1406.88,5758402,2020,303
2020-11-16,1406.05,5758402,2020,321
2020-11-30,1405.72,5758402,2020,335
2020-12-15,1406,5758402,2020,350
2020-12-28,1405.88,5758402,2020,363
2021-01-14,1405.21,5758402,2021,14
2021-01-28,1405.6,5758402,2021,28
2021-02-11,1405.4,5758402,2021,42
2021-02-25,1405.25,5758402,2021,56
2021-03-16,1404.97,5758402,2021,75
2021-03-30,1404.81,5758402,2021,89
2021-04-15,1404.37,5758402,2021,105
2021-04-29,1404.1,5758402,2021,119
2021-05-13,1404.25,5758402,2021,133
2021-05-26,1404.16,5758402,2021,146
2021-06-17,1405.09,5758402,2021,168
2021-06-29,1404.57,5758402,2021,180
2021-07-15,1404.8,5758402,2021,196
2021-07-29,1404.64,5758402,2021,210
2021-08-16,1403.56,5758402,2021,228
2021-08-30,1403.55,5758402,2021,242
2021-09-15,1403.23,5758402,2021,258
2021-09-30,1403.26,5758402,2021,273
2021-10-15,1403.66,5758402,2021,288
2021-10-28,1403.6,5758402,2021,301
2021-11-15,1403.92,5758402,2021,319
2021-11-30,1403.97,5758402,2021,334
2021-12-14,1404.15,5758402,2021,348
2021-12-28,1403.96,5758402,2021,362
2022-01-13,1404.35,5758402,2022,13
2022-01-27,1404.31,5758402,2022,27
2022-02-11,1404.5,5758402,2022,42
2022-02-28,1405.48,5758402,2022,59
2022-03-16,1404.42,5758402,2022,75
2022-03-30,1403.75,5758402,2022,89
2000-01-13,1290.15,6801314,2000,13
2000-12-20,1296.42,6801314,2000,355
2001-01-09,1294.67,6801314,2001,9
2001-02-07,1302.69,6801314,2001,38
2001-03-05,1306.73,6801314,2001,64
2001-03-22,1309.82,6801314,2001,81
2001-03-27,1309.91,6801314,2001,86
2001-03-28,1310.3,6801314,2001,87
2001-04-05,1310.9,6801314,2001,95
2001-04-16,1310.2,6801314,2001,106
2001-04-19,1310,6801314,2001,109
2001-05-11,1308.92,6801314,2001,131
2001-06-05,1303.95,6801314,2001,156
2001-07-09,1296.14,6801314,2001,190
2001-08-07,1289.18,6801314,2001,219
2001-08-28,1286.21,6801314,2001,240
2001-09-05,1287,6801314,2001,248
2001-09-15,1287.84,6801314,2001,258
2001-09-30,1287.11,6801314,2001,273
2001-10-03,1287,6801314,2001,276
2001-10-15,1287.55,6801314,2001,288
2001-10-30,1289.02,6801314,2001,303
2001-11-02,1289.88,6801314,2001,306
2001-11-06,1291.57,6801314,2001,310
2001-11-15,1294.4,6801314,2001,319
2001-11-30,1298.56,6801314,2001,334
2001-12-05,1300.05,6801314,2001,339
2001-12-15,1302.87,6801314,2001,349
2001-12-30,1304.82,6801314,2001,364
2002-01-07,1304.84,6801314,2002,7
2002-01-15,1305.57,6801314,2002,15
2002-01-30,1306.07,6801314,2002,30
2002-02-07,1305.62,6801314,2002,38
2002-02-15,1307.19,6801314,2002,46
2002-02-28,1308.21,6801314,2002,59
2002-03-01,1308.16,6801314,2002,60
2002-03-15,1307,6801314,2002,74
2005-11-15,1293.08,6801314,2005,319
2005-11-30,1291.25,6801314,2005,334
2005-12-15,1289.75,6801314,2005,349
2005-12-30,1290.58,6801314,2005,364
